,city,distance from NY,distance from san francisco,distance from seattle
147,Redmond%20CUT,4668036,89654,25822
148,Herndon%20CVA,398693,4510047,4431435
149,Tulsa%20COK,2172616,2786478,3213689
150,Mississippi State%20CMS,1776367,3657358,3968019
151,Hawaiian Gardens%20CCA,4501073,646813,1860787
152,Boca Raton%20CFL,2004207,4883594,5239067
153,Dublin%20CNH,1362313,3478112,3258195
154,King of Prussia%20CPA,177344,4595454,4516842
155,Newark%20CNJ,23230,4652508,4572605
156,Memphis%20CTN,1768994,3364500,3677127
157,Malvern%20CPA,2054146,3215467,3709594
158,Watertown%20CMA,2248876,2778740,2327364
159,St. Louis%20CMO,1541170,3298197,3349092
160,Washington%20CVA,4209646,1462327,503865
161,Mountain View%20CMO,3419771,1845753,1825674
162,Annapolis Junction%20CMD,342073,4561475,4482863
163,Holmdel%20CNJ,76874,4708114,4629502
164,New City%20CNY,51652,4687773,4609161
165,West McLean%20CVA,382850,4511878,4433266
